game_pk,pitcher,outs,hits,earned_runs,walks,hit_batters,strikeouts_official,home_runs_allowed
831604,573124,4,0,0,1,0,0,0
831604,687849,3,0,0,0,0,1,0
831604,680573,15,9,2,1,0,3,0
831604,607455,1,0,0,0,0,0,0
831604,573009,3,1,0,0,0,1,0
831604,453286,15,2,0,2,0,3,0
831604,681751,4,2,1,0,0,1,0
831604,695445,5,1,0,0,0,0,0
822705,687223,4,0,0,0,0,0,0
822705,687606,3,0,0,1,0,0,0
822705,678868,7,3,2,0,0,0,1
822705,674841,13,4,1,3,0,3,0
822705,693686,4,1,0,0,0,1,0
822705,671936,2,1,1,0,0,1,1
822705,686973,3,1,0,1,0,2,0
822705,656546,3,1,0,0,0,3,0
822705,453286,8,4,1,3,0,4,0
822705,689254,4,0,0,0,0,1,0
822705,643511,3,0,0,0,0,1,0
825098,666661,4,1,0,0,0,2,0
825098,656464,3,1,0,0,0,2,0
825098,668678,17,9,2,0,0,3,0
825098,657044,3,1,0,0,0,0,0
825098,656546,3,3,4,1,0,2,1
825098,453286,18,5,2,1,0,1,0
825098,643511,3,0,0,0,0,0,0
822836,656546,3,1,0,0,0,1,0
822836,453286,18,4,1,1,0,4,1
822836,689254,2,1,0,0,0,1,0
822836,680755,4,1,0,0,0,0,0
822836,663372,9,1,0,1,0,4,0
822836,657514,3,1,0,0,0,1,0
822836,675848,4,4,2,1,0,0,0
822836,688642,6,7,3,1,0,3,0
822836,677955,2,1,0,1,0,2,0
822827,693686,6,2,1,0,0,2,0
822827,667297,3,0,0,0,0,3,0
822827,573009,5,2,0,0,0,1,0
822827,453286,7,6,7,3,0,0,3
822827,689254,3,0,0,0,0,2,0
822827,680755,3,0,0,1,0,0,0
822827,671922,3,2,0,0,0,0,0
822827,681870,3,0,0,0,0,1,0
822827,668909,18,7,6,2,0,4,2
822827,683769,3,0,0,0,0,0,0
822828,667297,3,0,0,0,0,1,0
822828,686973,3,0,0,0,0,3,0
822828,573009,5,2,0,0,1,1,0
822828,656546,3,0,0,0,0,2,0
822828,453286,7,5,8,2,1,3,2
822828,689254,3,0,0,0,0,2,0
822828,643511,3,1,0,0,0,0,0
822828,671737,15,5,1,4,0,7,0
822828,623437,3,1,0,0,0,0,0
822828,702193,9,6,1,0,0,2,0
822804,693686,5,0,0,0,0,2,0
822804,667297,3,1,0,0,0,0,0
822804,656546,3,0,0,1,0,1,0
822804,453286,10,5,5,3,0,4,2
822804,689254,2,1,1,0,0,1,1
822804,680755,1,2,1,1,0,1,0
822804,643511,3,1,0,0,0,0,0
822804,666200,17,4,1,4,0,8,0
822804,621237,3,1,0,0,0,2,0
822804,661395,3,2,0,0,0,1,0
822804,680742,1,0,0,0,0,0,0
822804,663767,1,1,3,3,0,0,0
822804,641745,2,0,0,0,0,0,0
822832,693686,3,2,1,0,0,1,1
822832,667297,4,6,4,0,0,3,1
822832,573009,2,1,3,2,0,1,1
822832,676596,9,6,4,2,1,1,1
822832,453286,6,2,2,1,0,2,1
822832,623168,3,0,0,0,0,0,0
822832,683618,3,0,0,0,0,2,0
822832,694361,6,2,0,0,0,2,0
822832,680736,15,2,1,4,0,2,0
822832,500743,3,1,1,1,1,0,0
822783,693686,6,1,0,1,0,1,0
822783,453286,18,4,1,1,0,5,0
822783,689254,1,0,0,0,0,0,0
822783,686973,2,3,1,1,0,0,0
822783,676617,3,1,0,0,0,1,0
822783,666277,3,2,1,0,0,1,0
822783,669461,18,1,0,1,0,7,0
822783,592773,3,1,0,0,0,1,0
822776,695445,3,4,4,1,0,0,1
822776,693686,3,2,0,0,0,0,0
822776,453286,15,3,1,2,0,4,0
822776,680755,3,0,0,0,0,1,0
822776,681751,3,1,2,2,1,1,0
822776,669711,3,0,0,1,0,1,0
822776,801139,24,2,0,2,0,4,0
823426,621237,2,1,2,2,0,1,0
823426,661395,3,1,0,0,0,1,0
823426,689147,1,0,0,0,0,0,0
823426,680742,3,0,0,0,0,1,0
823426,663767,6,2,1,1,0,1,1
823426,605400,15,6,2,2,0,8,1
823426,548384,3,0,0,1,0,1,0
823426,693686,2,3,2,0,0,0,0
823426,686973,6,0,0,1,0,1,0
823426,663362,3,0,0,1,0,0,0
823426,453286,16,5,2,0,0,4,2
823426,680755,3,1,0,1,0,1,0
823426,681751,3,0,0,0,0,1,0
824861,682274,3,2,3,1,0,0,1
824861,689296,6,2,1,0,0,2,1
824861,621107,11,4,1,2,0,7,1
824861,664991,4,3,2,0,0,2,0
824861,666974,3,2,1,0,0,0,0
824861,676395,3,0,0,0,0,1,0
824861,594798,14,6,3,0,0,7,1
824861,596001,3,1,0,0,0,1,0
824861,668390,4,0,0,1,0,1,0
824861,455119,3,2,2,0,1,1,0
822937,669330,3,0,0,1,0,0,0
822937,592155,2,1,1,0,0,0,0
822937,687330,4,1,0,0,0,1,0
822937,641329,3,0,0,0,0,1,0
822937,656876,15,7,5,2,0,5,1
822937,663893,2,1,0,0,0,1,0
822937,623149,1,0,0,0,0,1,0
822937,453286,12,5,7,3,0,1,1
822937,689254,3,0,0,0,0,1,0
822937,680755,3,1,0,0,0,1,0
822937,643511,3,1,0,0,0,0,0
823487,666200,18,6,6,1,0,7,2
823487,647315,3,1,2,1,1,1,0
823487,641745,3,0,0,0,0,1,0
823487,679775,3,1,0,1,0,1,0
823487,676395,3,0,0,1,0,1,0
823487,669022,16,2,2,3,1,7,0
823487,691945,5,1,1,4,0,2,0
823487,668390,2,0,0,0,0,0,0
823487,455119,1,0,0,0,0,0,0
823488,621237,3,1,0,0,0,2,0
823488,661395,3,2,1,0,0,2,0
823488,641835,6,1,0,1,0,2,0
823488,621383,3,1,0,0,0,0,0
823488,605400,15,5,3,2,0,7,2
823488,641302,3,1,0,0,1,1,0
823488,656641,12,0,0,1,0,3,0
823488,656222,3,0,0,0,0,1,0
823488,676395,2,1,0,1,0,1,0
823488,596001,6,0,0,0,0,2,0
823488,668390,3,1,0,1,0,2,0
823488,455119,1,2,0,0,0,1,0
831837,683004,12,2,0,0,0,6,0
831837,668390,3,1,1,1,0,0,0
831837,656222,3,0,0,0,0,1,0
831837,455119,3,1,0,1,0,2,0
831837,681168,2,0,0,1,0,1,0
831837,656641,1,0,0,2,0,1,0
831837,615698,3,0,0,0,0,2,0
831837,669212,2,0,0,0,0,0,0
831837,683232,3,0,0,0,0,1,0
831837,670167,3,2,0,1,0,1,0
831837,621381,3,2,1,0,0,2,0
831837,680970,1,0,0,0,0,0,0
831837,607625,12,4,2,3,0,4,1
822919,669022,18,6,3,0,0,9,2
822919,596001,3,0,0,0,0,1,0
822919,668390,3,2,0,0,0,1,0
822919,455119,3,2,2,0,0,0,1
822919,641941,3,0,0,0,0,1,0
822919,663574,3,0,0,0,0,0,0
822919,663903,15,6,2,1,0,5,0
822919,668933,3,2,1,0,0,2,0
822919,594580,3,0,0,1,0,1,0
825022,686993,2,1,0,0,0,1,0
825022,665660,1,0,0,0,0,0,0
825022,663687,2,0,0,2,0,0,0
825022,643410,3,0,0,0,0,2,0
825022,605488,19,3,1,2,0,5,0
825022,641302,4,1,0,0,0,2,0
825022,681168,0,0,0,1,0,0,0
825022,676395,5,0,0,1,0,3,0
825022,669022,14,3,2,6,0,5,0
825022,455119,1,0,0,0,0,1,0
822915,681168,6,0,0,0,0,2,0
822915,669022,15,1,0,2,0,9,0
822915,668390,3,1,0,0,0,1,0
822915,455119,3,0,0,0,0,1,0
822915,678606,3,0,0,1,0,0,0
822915,693433,15,5,1,2,0,2,0
822915,642100,3,0,0,0,0,2,0
822915,660825,3,1,0,0,0,0,0
823967,681911,1,0,0,0,0,1,0
823967,656945,3,0,0,0,0,0,0
823967,686218,18,4,3,1,0,6,2
823967,676263,3,0,0,0,0,3,0
823967,595014,2,0,0,1,0,1,0
823967,641302,7,2,0,1,0,2,0
823967,683004,11,5,5,4,0,4,2
823967,676395,3,0,0,1,0,0,0
823967,455119,3,2,1,0,0,2,0
824029,815083,3,1,1,0,0,1,1
824029,680570,17,7,4,2,0,5,1
824029,696147,3,1,0,0,1,0,0
824029,642048,1,1,0,0,0,0,0
824029,608718,3,1,1,1,0,0,0
824029,656222,3,1,1,0,0,0,1
824029,615698,9,3,0,1,1,0,0
824029,594798,9,6,6,3,0,3,2
824029,455119,3,3,2,0,0,0,1
822917,683004,15,4,1,1,0,9,0
822917,656641,3,0,0,1,0,1,0
822917,656222,1,0,0,0,0,0,0
822917,676395,1,1,1,2,0,0,0
822917,668390,3,1,0,0,0,1,0
822917,455119,4,3,0,0,0,1,0
822917,572955,2,0,0,1,0,1,0
822917,683175,3,1,0,1,0,1,0
822917,594580,1,0,0,0,0,1,0
822917,656271,3,0,0,0,0,3,0
822917,695505,18,5,1,1,0,9,1
822899,677958,15,4,4,2,1,5,1
822899,682608,6,5,3,0,1,2,1
822899,664059,3,0,0,0,1,0,0
822899,455119,3,1,0,1,0,0,0
822899,695001,6,0,0,0,0,1,0
822899,595345,3,0,0,1,0,1,0
822899,837227,18,0,0,4,0,2,0
822897,641302,1,1,1,1,0,0,1
822897,686560,5,1,0,2,0,2,0
822897,594798,18,4,2,1,0,6,1
822897,455119,3,2,0,0,0,0,0
822897,660853,5,0,0,0,0,3,0
822897,681347,21,5,2,1,0,6,1
822897,687911,1,1,1,1,0,1,1
822893,677958,18,3,0,3,0,2,0
822893,682608,3,1,0,0,0,2,0
822893,641302,1,3,3,0,0,1,0
822893,596001,2,3,1,0,0,2,0
822893,455119,3,1,2,1,0,0,1
822893,668674,0,5,3,0,0,0,1
822893,663738,2,2,1,1,0,0,0
822893,607625,18,6,1,0,1,6,1
822893,656638,2,1,0,0,0,1,0
822893,670167,2,0,0,0,0,0,0
822882,641302,3,0,0,0,0,2,0
822882,615698,15,3,2,1,1,2,1
822882,687239,6,2,0,0,0,1,0
822882,455119,3,1,0,0,0,1,0
822882,663947,1,0,0,0,0,0,0
822882,656427,17,3,0,0,1,5,0
822882,672456,9,0,0,1,0,0,0
822745,663992,3,1,0,0,0,1,0
822745,672335,1,1,3,2,0,1,0
822745,676917,15,7,2,0,1,10,0
822745,681402,2,3,1,0,0,1,0
822745,642759,6,2,1,0,0,2,1
822745,669276,3,0,0,0,0,2,0
822745,471911,3,0,0,0,0,1,0
822745,702275,21,5,2,2,0,7,2
823143,678606,4,1,0,0,0,1,0
823143,669302,18,6,4,2,0,4,4
823143,662253,3,1,0,0,0,2,0
823143,660825,2,1,0,0,0,1,0
823143,471911,4,1,0,0,0,1,0
823143,702275,15,4,3,6,1,2,1
823143,641755,3,1,2,1,0,2,1
823143,607481,2,2,0,1,0,1,0
822878,641302,3,1,0,0,0,1,0
822878,615698,18,5,1,1,0,1,1
822878,668390,4,0,0,0,0,0,0
822878,455119,2,2,2,0,0,0,1
822878,686613,18,4,3,5,0,4,1
822878,595345,3,0,0,0,0,2,0
822878,687911,3,4,4,1,0,1,2
824921,471911,3,0,0,0,1,0,0
824921,800311,1,0,0,0,0,1,0
824921,625643,6,1,1,2,0,2,0
824921,527048,17,5,1,2,0,2,0
824921,663992,1,0,0,1,0,0,0
824921,687377,2,0,0,0,0,1,0
824921,681402,2,2,1,0,0,0,0
824921,656492,18,3,0,1,1,6,0
824921,674841,4,1,0,1,0,1,0
822881,682608,3,1,0,0,0,2,0
822881,641302,3,1,0,0,0,2,0
822881,594798,15,5,2,2,0,7,0
822881,668390,3,0,0,0,0,0,0
822881,455119,3,2,1,0,0,0,0
822881,667755,18,2,2,2,1,4,0
822881,696147,2,6,5,0,0,0,1
822881,642048,3,2,1,0,0,2,1
822881,608718,1,1,0,0,0,1,0
822875,677958,17,8,7,2,1,6,3
822875,695239,3,0,0,1,0,0,0
822875,686560,4,0,0,1,0,2,0
822875,455119,3,2,2,0,0,1,0
822875,660853,3,1,0,0,0,1,0
822875,805123,6,3,2,1,0,4,1
822875,663567,18,3,1,1,1,7,1
824756,813349,21,4,0,3,0,7,0
824756,670245,6,1,0,1,0,1,0
