game_date,game_pk,team,opponent,runs,plate_appearances,hits,home_runs,strikeouts,walks,iso,k_rate,bb_rate,hr_rate,runs_last14,k_rate_last14,bb_rate_last14,hr_rate_last14,iso_last14
2026-05-12,825011,ATH,STL,4,78,17,2,16,9,0.1282051282051282,0.20512820512820512,0.11538461538461539,0.02564102564102564,4.428571428571429,0.21067416197650027,0.09875282905205025,0.027175874921019964,0.13222062561819362
2026-05-13,825010,ATH,STL,6,77,26,2,12,3,0.11688311688311688,0.15584415584415584,0.03896103896103896,0.025974025974025976,4.5,0.21002005417953537,0.10189254647748196,0.027986968589256495,0.13627609395937623
2026-05-14,825008,ATH,STL,4,81,19,4,12,6,0.18518518518518517,0.14814814814814814,0.07407407407407407,0.04938271604938271,4.785714285714286,0.20758939261686657,0.09653804564377677,0.029842256158829777,0.13919993323041263
2026-05-15,825009,ATH,SF,5,73,20,3,16,3,0.1780821917808219,0.2191780821917808,0.0410958904109589,0.0410958904109589,5.0,0.20304535277870905,0.09426602572469804,0.03168892075059241,0.14402408511338802
2026-05-16,825007,ATH,SF,4,80,20,3,19,5,0.225,0.2375,0.0625,0.0375,5.0,0.20282791420510612,0.08827287503976654,0.033632278002168836,0.15079186071678005
2026-05-17,825006,ATH,SF,1,79,17,2,10,9,0.11392405063291139,0.12658227848101267,0.11392405063291139,0.02531645569620253,4.857142857142857,0.20997077134796327,0.08648716075405224,0.03452513514502598,0.15614900357392295
2026-05-18,824035,ATH,LAA,1,67,9,1,16,5,0.05970149253731343,0.23880597014925373,0.07462686567164178,0.014925373134328358,4.571428571428571,0.20669709173207498,0.08313034006855412,0.0346914172842457,0.15361320095082218
2026-05-19,824033,ATH,LAA,14,90,26,3,14,7,0.18888888888888888,0.15555555555555556,0.07777777777777778,0.03333333333333333,4.214285714285714,0.21343720071098995,0.08211162412446504,0.03178926139701519,0.1427982281955509
2026-05-20,824032,ATH,LAA,6,84,12,4,18,10,0.20238095238095238,0.21428571428571427,0.11904761904761904,0.047619047619047616,4.714285714285714,0.21103479830858757,0.08187567388851481,0.030309209916963707,0.14374202913935186
2026-05-21,824031,ATH,LAA,3,78,12,1,21,7,0.05128205128205128,0.2692307692307692,0.08974358974358974,0.01282051282051282,5.071428571428571,0.20964333263140755,0.08388556875555254,0.030927639106821468,0.14613844225005068
2026-05-22,823298,ATH,SD,3,71,15,3,13,8,0.15492957746478872,0.18309859154929578,0.11267605633802817,0.04225352112676056,5.071428571428571,0.2155407685288435,0.08553392040390419,0.02993862811781048,0.13932525543686386
2026-05-23,823300,ATH,SD,0,70,7,0,17,14,0.02857142857142857,0.24285714285714285,0.2,0.0,4.428571428571429,0.21358164536883079,0.08794311239797388,0.028257488649421198,0.13347436059412324
2026-05-24,823297,ATH,SD,5,81,19,2,18,11,0.12345679012345678,0.2222222222222222,0.13580246913580246,0.024691358024691357,4.142857142857143,0.21038063893886153,0.0963579851964083,0.026300541486994584,0.12768738827094736
2026-05-25,825005,ATH,SEA,2,76,19,5,20,3,0.25,0.2631578947368421,0.039473684210526314,0.06578947368421052,4.071428571428571,0.20773513629335888,0.09900348784191094,0.027182375702162132,0.1285692224861149
2026-05-26,825004,ATH,SEA,1,74,15,1,13,3,0.06756756756756757,0.17567567567567569,0.04054054054054054,0.013513513513513514,4.142857142857143,0.20582819502714989,0.092506266527756,0.03188162382246288,0.14332077528114598
2026-05-27,825003,ATH,SEA,1,80,21,2,17,6,0.125,0.2125,0.075,0.025,3.9285714285714284,0.20372444292339778,0.08716026118175066,0.031015372956212015,0.13898952094989164
2026-05-29,825002,ATH,NYY,2,79,20,4,10,6,0.189873417721519,0.12658227848101267,0.0759493670886076,0.05063291139240506,3.5714285714285716,0.2077712889345295,0.08973447268453359,0.030945799672353013,0.13956929831538328
2026-05-30,825000,ATH,NYY,6,76,14,3,19,12,0.13157894736842105,0.25,0.15789473684210525,0.039473684210526314,3.4285714285714284,0.20623086967259124,0.08986842218557169,0.031035099339711752,0.13990417206797856
2026-05-31,825001,ATH,NYY,8,87,23,2,16,10,0.16091954022988506,0.1839080459770115,0.11494252873563218,0.022988505747126436,3.5,0.2084324352303212,0.09821119693065358,0.030919227468252285,0.13658251175280708
